Name: CHE Nuclear
Date: 2022-10-13 11:23:59.795527
Author: Marc Jaxa-Rozen, Xin Wen

Country,Entity,Parameter,Year,Period,Value,Unit,Reference,Priority,Note
CHE,Nuclear,Peak_contr,2004,,0.81,,,,
CHE,Nuclear,Peak_contr,2005,,0.81,,,,
CHE,Nuclear,Peak_contr,2006,,0.81,,,,
CHE,Nuclear,Peak_contr,2007,,0.81,,,,
CHE,Nuclear,Peak_contr,2008,,0.81,,,,
CHE,Nuclear,Peak_contr,2009,,0.81,,,,
CHE,Nuclear,Peak_contr,2010,,0.81,,,,
CHE,Nuclear,Peak_contr,2011,,0.81,,,,
CHE,Nuclear,Peak_contr,2012,,0.81,,,,
CHE,Nuclear,Peak_contr,2013,,0.81,,,,
CHE,Nuclear,Peak_contr,2014,,0.81,,,,
CHE,Nuclear,Peak_contr,2015,,0.81,,,,
CHE,Nuclear,Peak_contr,2016,,0.81,,,,
CHE,Nuclear,Peak_contr,2017,,0.81,,,,
CHE,Nuclear,Peak_contr,2018,,0.81,,,,
CHE,Nuclear,Peak_contr,2019,,0.81,,,,
CHE,Nuclear,Own_use,1990,,0.02,,Assumption,,
CHE,Nuclear,Own_use,1991,,0.02,,Assumption,,
CHE,Nuclear,Own_use,1992,,0.02,,Assumption,,
CHE,Nuclear,Own_use,1993,,0.02,,Assumption,,
CHE,Nuclear,Own_use,1994,,0.02,,Assumption,,
CHE,Nuclear,Own_use,1995,,0.02,,Assumption,,
CHE,Nuclear,Own_use,1996,,0.02,,Assumption,,
CHE,Nuclear,Own_use,1997,,0.02,,Assumption,,
CHE,Nuclear,Own_use,1998,,0.02,,Assumption,,
CHE,Nuclear,Own_use,1999,,0.02,,Assumption,,
CHE,Nuclear,Own_use,2000,,0.02,,Assumption,,
CHE,Nuclear,Own_use,2001,,0.02,,Assumption,,
CHE,Nuclear,Own_use,2002,,0.02,,Assumption,,
CHE,Nuclear,Own_use,2003,,0.02,,Assumption,,
CHE,Nuclear,Own_use,2004,,0.02,,Assumption,,
CHE,Nuclear,Own_use,2005,,0.02,,Assumption,,
CHE,Nuclear,Own_use,2006,,0.02,,Assumption,,
CHE,Nuclear,Own_use,2007,,0.02,,Assumption,,
CHE,Nuclear,Own_use,2008,,0.02,,Assumption,,
CHE,Nuclear,Own_use,2009,,0.02,,Assumption,,
CHE,Nuclear,Own_use,2010,,0.02,,Assumption,,
CHE,Nuclear,Own_use,2011,,0.02,,Assumption,,
CHE,Nuclear,Own_use,2012,,0.02,,Assumption,,
CHE,Nuclear,Own_use,2013,,0.02,,Assumption,,
CHE,Nuclear,Own_use,2014,,0.02,,Assumption,,
CHE,Nuclear,Own_use,2015,,0.02,,Assumption,,
CHE,Nuclear,Own_use,2016,,0.02,,Assumption,,
CHE,Nuclear,Own_use,2017,,0.02,,Assumption,,
CHE,Nuclear,Own_use,2018,,0.02,,Assumption,,
CHE,Nuclear,Own_use,2019,,0.02,,Assumption,,
CHE,Nuclear,Buildrates,1990,,0,GW,OECD (2010) Nuclear Legislation in OECD Countries,,Moratorium following September 1990 referendum
CHE,Nuclear,Buildrates,1991,,0,GW,OECD (2010) Nuclear Legislation in OECD Countries,,Moratorium following September 1990 referendum
CHE,Nuclear,Buildrates,1992,,0,GW,OECD (2010) Nuclear Legislation in OECD Countries,,Moratorium following September 1990 referendum
CHE,Nuclear,Buildrates,1993,,0,GW,OECD (2010) Nuclear Legislation in OECD Countries,,Moratorium following September 1990 referendum
CHE,Nuclear,Buildrates,1994,,0,GW,OECD (2010) Nuclear Legislation in OECD Countries,,Moratorium following September 1990 referendum
CHE,Nuclear,Buildrates,1995,,0,GW,OECD (2010) Nuclear Legislation in OECD Countries,,Moratorium following September 1990 referendum
CHE,Nuclear,Buildrates,1996,,0,GW,OECD (2010) Nuclear Legislation in OECD Countries,,Moratorium following September 1990 referendum
CHE,Nuclear,Buildrates,1997,,0,GW,OECD (2010) Nuclear Legislation in OECD Countries,,Moratorium following September 1990 referendum
CHE,Nuclear,Buildrates,1998,,0,GW,OECD (2010) Nuclear Legislation in OECD Countries,,Moratorium following September 1990 referendum
CHE,Nuclear,Buildrates,1999,,0,GW,OECD (2010) Nuclear Legislation in OECD Countries,,Moratorium following September 1990 referendum
CHE,Nuclear,Buildrates,2000,,0,GW,OECD (2010) Nuclear Legislation in OECD Countries,,Moratorium following September 1990 referendum
CHE,Nuclear,Buildrates,2001,,0,GW,OECD (2010) Nuclear Legislation in OECD Countries,,Moratorium following September 1990 referendum
CHE,Nuclear,Buildrates,2002,,0,GW,OECD (2010) Nuclear Legislation in OECD Countries,,Moratorium following September 1990 referendum
CHE,Nuclear,Buildrates,2003,,0,GW,OECD (2010) Nuclear Legislation in OECD Countries,,Moratorium following September 1990 referendum
CHE,Nuclear,Buildrates,2004,,0,GW,OECD (2010) Nuclear Legislation in OECD Countries,,Moratorium following September 1990 referendum
CHE,Nuclear,Buildrates,2005,,1,GW,OECD (2010) Nuclear Legislation in OECD Countries,,Act of Nuclear Energy of 2003
CHE,Nuclear,Buildrates,2006,,1,GW,OECD (2010) Nuclear Legislation in OECD Countries,,Act of Nuclear Energy of 2003
CHE,Nuclear,Buildrates,2007,,1,GW,OECD (2010) Nuclear Legislation in OECD Countries,,Act of Nuclear Energy of 2003
CHE,Nuclear,Buildrates,2008,,1,GW,OECD (2010) Nuclear Legislation in OECD Countries,,Act of Nuclear Energy of 2003
CHE,Nuclear,Buildrates,2009,,1,GW,OECD (2010) Nuclear Legislation in OECD Countries,,Act of Nuclear Energy of 2003
