Name:,CHE CoalResource,,,,,,,
Date:,2021-08-06 16:54:30.411410,,,,,,,
Author:,Marc Jaxa-Rozen,,,,,,,
,,,,,,,,
Country,Entity,Parameter,Year,Period,Value,Unit,Reference,Note
CHE,CoalResource,CO2_generation,1998,,353.88,tonne/GWh,"IPCC 2006 Guidelines for National Greenhouse Gas Inventories, http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol2.html",Anthracite
CHE,CoalResource,CO2_generation,1999,,353.88,tonne/GWh,"IPCC 2006 Guidelines for National Greenhouse Gas Inventories, http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol2.html",Anthracite
CHE,CoalResource,CO2_generation,2000,,353.88,tonne/GWh,"IPCC 2006 Guidelines for National Greenhouse Gas Inventories, http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol2.html",Anthracite
CHE,CoalResource,CO2_generation,2001,,353.88,tonne/GWh,"IPCC 2006 Guidelines for National Greenhouse Gas Inventories, http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol2.html",Anthracite
CHE,CoalResource,CO2_generation,2002,,353.88,tonne/GWh,"IPCC 2006 Guidelines for National Greenhouse Gas Inventories, http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol2.html",Anthracite
CHE,CoalResource,CO2_generation,2003,,353.88,tonne/GWh,"IPCC 2006 Guidelines for National Greenhouse Gas Inventories, http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol2.html",Anthracite
CHE,CoalResource,CO2_generation,2004,,353.88,tonne/GWh,"IPCC 2006 Guidelines for National Greenhouse Gas Inventories, http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol2.html",Anthracite
CHE,CoalResource,CO2_generation,2005,,353.88,tonne/GWh,"IPCC 2006 Guidelines for National Greenhouse Gas Inventories, http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol2.html",Anthracite
CHE,CoalResource,CO2_generation,2006,,353.88,tonne/GWh,"IPCC 2006 Guidelines for National Greenhouse Gas Inventories, http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol2.html",Anthracite
CHE,CoalResource,CO2_generation,2007,,353.88,tonne/GWh,"IPCC 2006 Guidelines for National Greenhouse Gas Inventories, http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol2.html",Anthracite
CHE,CoalResource,CO2_generation,2008,,353.88,tonne/GWh,"IPCC 2006 Guidelines for National Greenhouse Gas Inventories, http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol2.html",Anthracite
