0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2019-01-01,6545.98,6699.34,6911.95,6840.4,6719.15,6713.51,6728.43,6673.48,6693.42,6839.82,6920.26,6896.08,7193.23,7268.09,7152.59,7070.48,7100.68,6767.99,6864.51,6538.82,6573.89,6456.93,6452.8,6565.73
2019-01-02,6162.04,6840.42,6916.84,6863.11,6803.11,6766.77,6457.08,6155.61,6297.36,6436.33,6511.63,6469.68,6682.18,6591.05,6468.76,6470.57,6838.01,7194.8,7296.84,7138.38,6867.0,6630.26,6695.42,6719.89
2019-01-03,6926.03,6982.02,7001.88,7070.76,6759.42,7000.85,6634.72,7017.47,7418.87,7567.4,7573.37,7359.38,7385.41,7302.37,7159.56,7193.03,7386.01,7809.88,7893.87,7659.98,7270.29,7015.99,6977.86,6858.01
2019-01-04,6909.04,7077.01,7500.84,7674.45,7223.18,7110.63,6898.62,7086.14,7380.34,7544.88,7539.72,7335.44,7316.96,7213.85,7043.42,7069.74,7278.38,7703.91,7716.09,7444.69,7114.69,6810.85,6753.68,6576.12
2019-01-05,6477.16,6437.49,6594.28,6824.67,6943.82,6622.56,6741.14,6410.98,6549.32,6860.73,7070.75,7124.85,7280.41,7306.96,7154.1,7039.75,7062.1,7412.14,7440.95,7282.04,6921.24,6636.65,6520.39,6348.8
2019-01-06,6431.73,6859.53,7152.51,7064.73,6331.93,6399.29,6282.08,6270.14,6348.06,6372.58,6343.31,7237.35,7388.05,7464.8,7461.99,7319.54,7195.03,7110.52,7272.06,7148.72,6958.95,7042.24,6504.32,6486.91
2019-01-07,6674.9,7164.8,7441.69,7398.58,7398.09,7587.35,7083.43,7632.39,8069.17,8112.06,8153.95,8170.04,7967.04,8008.28,7929.0,7863.25,8000.06,8080.76,8092.24,7767.32,7318.24,7018.24,6857.34,7149.07
2019-01-08,7509.42,7652.21,7679.56,7681.73,7566.98,7794.01,7914.72,7943.16,8328.96,8374.22,8476.25,8498.74,8283.66,8296.36,8186.81,8083.33,8116.33,8253.92,8255.19,7935.69,7490.98,7087.19,6908.32,6657.17
2019-01-09,6714.31,6901.16,7083.76,7073.11,7044.36,7119.71,7392.66,8044.17,8435.56,8476.51,8575.58,8603.89,8427.79,8408.51,8275.31,8217.61,8244.93,8432.13,8512.52,8228.67,7789.69,7408.61,7262.44,7137.76
