,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2009-01-21,6952.0,6868.0,6781.0,6677.0,6595.0,6973.0,7627.0,7553.0,7623.0,7594.0,7621.0,7664.0,7435.0,7500.0,7362.0,7275.0,7168.0,7275.0,7395.0,7170.0,6992.0,7171.0,7319.0,7123.0
2009-02-18,7000.0,6997.0,7110.0,7225.0,7198.0,6972.0,7281.0,7393.0,7534.0,7607.0,7678.0,7705.0,7513.0,7554.0,7492.0,7382.0,7281.0,7262.0,7777.0,7672.0,7412.0,7318.0,7440.0,7350.0
2009-03-18,5964.0,5870.0,5794.0,5929.0,6074.0,6372.0,6653.0,6612.0,6666.0,6616.0,6618.0,6696.0,6331.0,6277.0,6171.0,6004.0,5996.0,5888.0,6265.0,6529.0,6303.0,6027.0,5716.0,5420.0
2009-04-15,4422.0,4379.0,4317.0,4279.0,4215.0,4454.0,4626.0,4712.0,5020.0,5086.0,5244.0,5422.0,5023.0,5040.0,5001.0,4847.0,4701.0,4552.0,4499.0,4423.0,4647.0,4721.0,4541.0,4239.0
2009-05-20,4122.0,3998.0,4066.0,4092.0,3937.0,4163.0,4280.0,4789.0,5096.0,5231.0,5423.0,5650.0,5322.0,5315.0,5283.0,5074.0,4744.0,4638.0,4631.0,4293.0,4105.0,4451.0,4523.0,4191.0
2009-06-17,4638.0,4545.0,4364.0,4248.0,4005.0,4159.0,4444.0,5129.0,5494.0,5382.0,5629.0,5855.0,5328.0,5402.0,5389.0,5325.0,5279.0,5052.0,4927.0,4662.0,4449.0,4646.0,4807.0,4369.0
2009-07-15,4436.0,4456.0,4382.0,4290.0,4129.0,4329.0,4248.0,4799.0,5328.0,5469.0,5553.0,5649.0,5309.0,5337.0,5390.0,5285.0,5272.0,5056.0,4968.0,4683.0,4597.0,4892.0,4783.0,4383.0
2009-08-19,4492.0,4302.0,4180.0,4082.0,3822.0,4162.0,4564.0,5068.0,5592.0,5668.0,5765.0,5933.0,5587.0,5696.0,5706.0,5670.0,5607.0,5385.0,5250.0,5000.0,4921.0,5196.0,5072.0,4627.0
2009-09-16,5258.0,5169.0,5028.0,4896.0,4717.0,4943.0,5666.0,6101.0,6462.0,6565.0,6684.0,6868.0,6472.0,6526.0,6553.0,6456.0,6360.0,6175.0,6180.0,6123.0,6098.0,5901.0,5849.0,5433.0
2009-10-21,5877.0,5998.0,5945.0,5907.0,5808.0,6116.0,6153.0,6658.0,6840.0,6782.0,6879.0,6914.0,6710.0,6795.0,6704.0,6579.0,6542.0,6339.0,6510.0,6503.0,6302.0,6253.0,6029.0,5610.0
2009-11-18,5608.0,5487.0,5331.0,5347.0,5244.0,5570.0,5980.0,6385.0,6480.0,6469.0,6559.0,6661.0,6476.0,6524.0,6424.0,6272.0,6342.0,6480.0,6468.0,6156.0,5999.0,5925.0,5790.0,5452.0
2009-12-16,7126.0,7033.0,6892.0,6783.0,6639.0,6859.0,7035.0,7459.0,7530.0,7456.0,7404.0,7308.0,7386.0,7551.0,7479.0,7443.0,7520.0,7405.0,7283.0,7162.0,7211.0,7211.0,7211.0,7211.0
