,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2001-01-17,7742,7562.0,7413.0,7117.0,7076.0,7515.0,8434.0,9085.0,9164.0,9219.0,9167.0,8970.0,8747.0,8769.0,8678.0,8647.0,8786.0,9188.0,8791.0,8311.0,7716.0,8111.0,8122.0,7948.0
2001-02-21,7020,6996.0,6853.0,6759.0,6757.0,7073.0,8033.0,8618.0,8591.0,8821.0,8745.0,8347.0,8221.0,8280.0,8091.0,7919.0,7717.0,8217.0,8364.0,7857.0,7373.0,7688.0,7475.0,7254.0
2001-03-21,6309,6157.0,6114.0,6077.0,6353.0,6844.0,7586.0,8241.0,8450.0,8722.0,8879.0,8433.0,8392.0,8504.0,8257.0,8224.0,7981.0,7949.0,8097.0,7738.0,7182.0,7379.0,7061.0,6651.0
2001-04-18,6299,6222.0,6298.0,6288.0,6334.0,6815.0,7359.0,7924.0,8009.0,6168.0,8327.0,8096.0,7952.0,7941.0,7849.0,7578.0,7333.0,7314.0,7180.0,7163.0,7014.0,7339.0,7073.0,6747.0
2001-05-16,5545,5317.0,5178.0,4988.0,5146.0,5863.0,6902.0,7479.0,7486.0,7901.0,7974.0,7682.0,7528.0,7580.0,7459.0,7373.0,7026.0,7018.0,6583.0,6543.0,6404.0,6651.0,6400.0,5722.0
2001-06-20,5384,5171.0,4992.0,4811.0,4946.0,5548.0,6681.0,7291.0,7463.0,7598.0,7852.0,7506.0,7282.0,7399.0,7274.0,7145.0,6826.0,6693.0,6325.0,6026.0,5999.0,6608.0,6265.0,5666.0
2001-07-18,5221,4938.0,4810.0,4575.0,4725.0,5384.0,6348.0,6937.0,7195.0,7323.0,7620.0,7169.0,6890.0,6876.0,6725.0,6649.0,6520.0,6374.0,6000.0,5785.0,5749.0,6226.0,6020.0,5252.0
2001-08-15,5163,4844.0,4614.0,4387.0,4268.0,4987.0,5851.0,6350.0,6658.0,7053.0,7285.0,7009.0,6876.0,6853.0,6756.0,6616.0,6337.0,6247.0,6054.0,5953.0,6035.0,6465.0,6019.0,5346.0
2001-09-19,5756,5630.0,5512.0,5533.0,5756.0,6399.0,7280.0,7646.0,7885.0,8062.0,8195.0,7805.0,7623.0,7728.0,7441.0,7425.0,7145.0,7224.0,7275.0,7211.0,6795.0,6890.0,6548.0,6019.0
2001-10-17,5564,5252.0,5123.0,4992.0,5270.0,6065.0,7185.0,7622.0,7776.0,8016.0,8204.0,7749.0,7596.0,7632.0,7331.0,7261.0,6990.0,7148.0,7416.0,7252.0,6650.0,6765.0,6396.0,5813.0
2001-11-21,7183,6860.0,6775.0,6631.0,6792.0,7303.0,8037.0,8649.0,8678.0,8833.0,8890.0,8502.0,8429.0,8421.0,8390.0,8491.0,8712.0,8963.0,8493.0,8051.0,7592.0,9034.0,7705.0,7962.0
2001-12-19,7931,7892.0,7837.0,7456.0,7444.0,7553.0,8577.0,9241.0,9233.0,9308.0,9276.0,9057.0,8977.0,8996.0,8927.0,8981.0,9217.0,9277.0,8932.0,8452.0,8041.0,8451.0,8457.0,8766.0
