,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2000-01-19,6913.0,6886.0,6770.0,6741.0,6831.0,7018.0,7949.0,8598.0,8700.0,8837.0,8867.0,8557.0,8449.0,8475.0,8403.0,8347.0,8458.0,8815.0,8503.0,7648.0,7331.0,7788.0,7644.0,7423.0
2000-02-16,6514.0,6332.0,6427.0,6353.0,6568.0,6827.0,7759.0,8506.0,8661.0,8866.0,8743.0,8391.0,8376.0,8427.0,8286.0,8190.0,8111.0,8536.0,8211.0,7754.0,7340.0,7770.0,7592.0,7350.0
2000-03-15,6094.0,5986.0,5985.0,6010.0,6149.0,6618.0,7349.0,7838.0,7892.0,8226.0,8312.0,7920.0,7773.0,7919.0,7694.0,7606.0,7293.0,7479.0,7788.0,7381.0,7022.0,7362.0,7193.0,6795.0
2000-04-19,6184.0,5961.0,6105.0,5995.0,6168.0,6579.0,7150.0,7876.0,7826.0,8026.0,8076.0,7716.0,7518.0,7648.0,7336.0,7176.0,6979.0,6899.0,6629.0,6744.0,6653.0,6985.0,6639.0,6287.0
2000-05-17,5239.0,5188.0,4905.0,4741.0,4820.0,5514.0,6834.0,7265.0,7586.0,7833.0,7851.0,7410.0,7352.0,7200.0,7328.0,7085.0,6942.0,6835.0,6618.0,6268.0,6214.0,6496.0,6066.0,5560.0
2000-06-21,5409.0,5254.0,4950.0,4730.0,4794.0,5660.0,6719.0,7167.0,7415.0,7779.0,7772.0,7616.0,7517.0,7560.0,7341.0,7216.0,6862.0,6679.0,6337.0,6080.0,5784.0,6626.0,6229.0,5674.0
2000-07-19,5125.0,4808.0,4674.0,4428.0,4515.0,5198.0,5912.0,6588.0,6791.0,6837.0,7141.0,6708.0,6541.0,6485.0,6490.0,6633.0,6158.0,6149.0,5792.0,5566.0,5429.0,6150.0,5984.0,5580.0
2000-08-16,5025.0,4878.0,4744.0,4360.0,4551.0,5409.0,6260.0,6874.0,7147.0,7536.0,7702.0,7361.0,7201.0,7287.0,7057.0,7084.0,6748.0,6481.0,6146.0,5948.0,6029.0,6320.0,6052.0,5599.0
2000-09-20,5506.0,5205.0,5038.0,4797.0,4831.0,5787.0,6798.0,7560.0,7389.0,7719.0,8015.0,7561.0,7497.0,7476.0,7640.0,7617.0,7497.0,7430.0,7165.0,6692.0,6283.0,6553.0,6209.0,5418.0
2000-10-18,5523.0,5362.0,5283.0,5245.0,5690.0,6289.0,7136.0,7735.0,7711.0,7965.0,8063.0,7467.0,7422.0,7469.0,7416.0,7363.0,7070.0,7189.0,7419.0,7020.0,6634.0,6796.0,6580.0,5695.0
2000-11-15,6280.0,6201.0,6196.0,6036.0,6130.0,6823.0,7594.0,8305.0,8249.0,8400.0,8395.0,8161.0,7984.0,8122.0,7825.0,8270.0,8393.0,8447.0,7985.0,7525.0,6961.0,7166.0,7207.0,6680.0
2000-12-20,6804.0,6802.0,6678.0,6510.0,6680.0,7032.0,7886.0,8668.0,8567.0,8632.0,8668.0,8420.0,8321.0,8459.0,8445.0,8549.0,8753.0,8677.0,8245.0,7719.0,7420.0,7711.0,7492.0,7393.0
