,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2002-01-16,7923,8224.0,8155.0,7975.0,7922.0,7917.0,8346.0,9020.0,9182.0,9184.0,9086.0,9137.0,9291.0,9407.0,9269.0,9189.0,9146.0,9290.0,9282.0,9087.0,9003.0,8460.0,8025.0,8023.0
2002-01-16,7923,8224.0,8155.0,7975.0,7922.0,7917.0,8346.0,9020.0,9182.0,9184.0,9086.0,9137.0,9291.0,9407.0,9269.0,9189.0,9146.0,9290.0,9282.0,9087.0,9003.0,8460.0,8025.0,8023.0
2002-01-16,7923,8224.0,8155.0,7975.0,7922.0,7917.0,8346.0,9020.0,9182.0,9184.0,9086.0,9137.0,9291.0,9407.0,9269.0,9189.0,9146.0,9290.0,9282.0,9087.0,9003.0,8460.0,8025.0,8023.0
2002-01-16,7923,8224.0,8155.0,7975.0,7922.0,7917.0,8346.0,9020.0,9182.0,9184.0,9086.0,9137.0,9291.0,9407.0,9269.0,9189.0,9146.0,9290.0,9282.0,9087.0,9003.0,8460.0,8025.0,8023.0
2002-01-16,7923,8224.0,8155.0,7975.0,7922.0,7917.0,8346.0,9020.0,9182.0,9184.0,9086.0,9137.0,9291.0,9407.0,9269.0,9189.0,9146.0,9290.0,9282.0,9087.0,9003.0,8460.0,8025.0,8023.0
2002-01-16,7923,8224.0,8155.0,7975.0,7922.0,7917.0,8346.0,9020.0,9182.0,9184.0,9086.0,9137.0,9291.0,9407.0,9269.0,9189.0,9146.0,9290.0,9282.0,9087.0,9003.0,8460.0,8025.0,8023.0
2002-01-16,7923,8224.0,8155.0,7975.0,7922.0,7917.0,8346.0,9020.0,9182.0,9184.0,9086.0,9137.0,9291.0,9407.0,9269.0,9189.0,9146.0,9290.0,9282.0,9087.0,9003.0,8460.0,8025.0,8023.0
2002-01-16,7923,8224.0,8155.0,7975.0,7922.0,7917.0,8346.0,9020.0,9182.0,9184.0,9086.0,9137.0,9291.0,9407.0,9269.0,9189.0,9146.0,9290.0,9282.0,9087.0,9003.0,8460.0,8025.0,8023.0
2002-01-16,7923,8224.0,8155.0,7975.0,7922.0,7917.0,8346.0,9020.0,9182.0,9184.0,9086.0,9137.0,9291.0,9407.0,9269.0,9189.0,9146.0,9290.0,9282.0,9087.0,9003.0,8460.0,8025.0,8023.0
2002-01-16,7923,8224.0,8155.0,7975.0,7922.0,7917.0,8346.0,9020.0,9182.0,9184.0,9086.0,9137.0,9291.0,9407.0,9269.0,9189.0,9146.0,9290.0,9282.0,9087.0,9003.0,8460.0,8025.0,8023.0
2002-01-16,7923,8224.0,8155.0,7975.0,7922.0,7917.0,8346.0,9020.0,9182.0,9184.0,9086.0,9137.0,9291.0,9407.0,9269.0,9189.0,9146.0,9290.0,9282.0,9087.0,9003.0,8460.0,8025.0,8023.0
2002-01-16,7923,8224.0,8155.0,7975.0,7922.0,7917.0,8346.0,9020.0,9182.0,9184.0,9086.0,9137.0,9291.0,9407.0,9269.0,9189.0,9146.0,9290.0,9282.0,9087.0,9003.0,8460.0,8025.0,8023.0
