"Canton","Vehicle group / type","Fuel","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Switzerland","... Articulated truck (lorry)","Diesel-electricity: conventional hybrid",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Switzerland","... Articulated truck (lorry)","Diesel-electricity: plug-in hybrid",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Switzerland","... Articulated truck (lorry)","Electricity",0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,2,4
"Switzerland","... Articulated truck (lorry)","Hydrogen",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Switzerland","... Articulated truck (lorry)","Gas (monovalent and bivalent)",0,0,1,0,0,1,1,0,0,0,0,0,0,0,43,21,15
"Switzerland","... Articulated truck (lorry)","Other",1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Switzerland","... Articulated truck (lorry)","Without motor",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Switzerland","> Agricultural vehicles","Petrol",137,97,125,154,138,125,134,135,110,113,85,91,103,64,49,93,94
"Switzerland","> Agricultural vehicles","Diesel",3199,2967,2900,3066,2993,3128,3574,3814,3467,3208,3651,3216,3192,2857,3056,3137,3274
"Switzerland","> Agricultural vehicles","Petrol-electricity: conventional hybrid",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"Switzerland","> Agricultural vehicles","Petrol-electricity: plug-in hybrid",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Switzerland","> Agricultural vehicles","Diesel-electricity: conventional hybrid",0,0,0,2,0,0,0,0,1,2,0,0,0,0,0,0,1
"Switzerland","> Agricultural vehicles","Diesel-electricity: plug-in hybrid",0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
"Switzerland","> Agricultural vehicles","Electricity",2,2,2,3,1,8,6,2,5,2,1,7,12,9,10,21,10
"Switzerland","> Agricultural vehicles","Hydrogen",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Switzerland","> Agricultural vehicles","Gas (monovalent and bivalent)",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"Switzerland","> Agricultural vehicles","Other",33,7,7,2,2,0,0,0,0,1,0,0,0,0,0,0,0
"Switzerland","> Agricultural vehicles","Without motor",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Switzerland","... Farm tractor","Petrol",19,4,7,10,6,5,7,5,8,8,4,5,6,3,9,26,18
"Switzerland","... Farm tractor","Diesel",2760,2473,2452,2617,2500,2637,3023,3228,2874,2635,3041,2648,2598,2284,2362,2470,2665
"Switzerland","... Farm tractor","Petrol-electricity: conventional hybrid",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Switzerland","... Farm tractor","Petrol-electricity: plug-in hybrid",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Switzerland","... Farm tractor","Diesel-electricity: conventional hybrid",0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1
"Switzerland","... Farm tractor","Diesel-electricity: plug-in hybrid",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Switzerland","... Farm tractor","Electricity",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,1
"Switzerland","... Farm tractor","Hydrogen",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Switzerland","... Farm tractor","Gas (monovalent and bivalent)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Switzerland","... Farm tractor","Other",17,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"Switzerland","... Farm tractor","Without motor",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Switzerland","... Farm utility vehicle","Petrol",7,12,18,9,12,3,5,5,7,4,4,2,10,6,1,4,9
"Switzerland","... Farm utility vehicle","Diesel",285,297,297,325,401,405,447,473,481,474,520,501,511,488,595,558,527
"Switzerland","... Farm utility vehicle","Petrol-electricity: conventional hybrid",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Switzerland","... Farm utility vehicle","Petrol-electricity: plug-in hybrid",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Switzerland","... Farm utility vehicle","Diesel-electricity: conventional hybrid",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Switzerland","... Farm utility vehicle","Diesel-electricity: plug-in hybrid",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
"Switzerland","... Farm utility vehicle","Electricity",2,2,2,3,1,5,6,1,4,2,1,7,12,7,8,18,8
"Switzerland","... Farm utility vehicle","Hydrogen",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Switzerland","... Farm utility vehicle","Gas (monovalent and bivalent)",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"Switzerland","... Farm utility vehicle","Other",7,3,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Switzerland","... Farm utility vehicle","Without motor",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Switzerland","... Farm truck","Petrol",34,23,40,48,44,41,50,52,25,24,20,22,16,12,6,12,7
"Switzerland","... Farm truck","Diesel",143,195,151,121,88,86,101,112,111,96,87,67,82,84,95,106,81
"Switzerland","... Farm truck","Petrol-electricity: conventional hybrid",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
