,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2006-01-18,7380.0,7290.0,7196.0,7101.0,6956.0,7083.0,7280.0,7541.0,7823.0,7783.0,7829.0,7924.0,7811.0,7922.0,7870.0,7911.0,7728.0,7632.0,7610.0,7344.0,7119.0,6952.0,7176.0,7206.0
2006-02-15,7344.0,7154.0,7122.0,7066.0,7057.0,7120.0,7065.0,7491.0,7676.0,7677.0,7814.0,7828.0,7625.0,7831.0,7829.0,7732.0,7722.0,7640.0,7642.0,7383.0,7050.0,6876.0,7146.0,7311.0
2006-03-15,5290.0,6963.0,3475.0,6847.0,5045.0,6931.0,5192.0,7014.0,7031.0,6904.0,5380.0,5531.0,7292.0,3668.0,5420.0,6884.0,3315.0,4774.0,6668.0,6831.0,6733.0,6783.0,6972.0,7104.0
2006-04-19,4928.0,4901.0,4880.0,4814.0,4794.0,5104.0,5159.0,5330.0,5553.0,5512.0,5565.0,5691.0,5352.0,5543.0,5635.0,5482.0,5295.0,5133.0,4982.0,4820.0,5172.0,5189.0,5306.0,5293.0
2006-05-17,4519.0,4410.0,4327.0,4245.0,4109.0,4205.0,4511.0,4593.0,4958.0,5163.0,5206.0,5506.0,5019.0,5018.0,5034.0,4947.0,4944.0,4759.0,4563.0,4362.0,4348.0,4602.0,4699.0,4644.0
2006-06-21,4857.0,4734.0,4642.0,4533.0,4378.0,4459.0,4619.0,4883.0,5215.0,5389.0,5548.0,5713.0,5345.0,5410.0,5449.0,5362.0,5289.0,5143.0,5036.0,4863.0,4612.0,4745.0,4937.0,5061.0
2006-07-19,4933.0,4867.0,4938.0,4744.0,4624.0,4779.0,4551.0,4669.0,4974.0,5051.0,5242.0,5341.0,5102.0,5259.0,5280.0,5127.0,4985.0,4809.0,4722.0,4558.0,4482.0,4637.0,4889.0,4742.0
2006-08-16,4423.0,4338.0,4203.0,4052.0,3972.0,3932.0,4093.0,4498.0,4855.0,5004.0,5151.0,5314.0,4886.0,4871.0,4856.0,4713.0,4572.0,4419.0,4448.0,4501.0,4538.0,4595.0,4943.0,4978.0
2006-09-20,4525.0,4292.0,4168.0,3994.0,3801.0,4063.0,4604.0,5052.0,5313.0,4024.0,5468.0,5754.0,4747.0,4951.0,5257.0,5109.0,5072.0,4778.0,4717.0,4651.0,4939.0,4749.0,4684.0,4687.0
2006-10-18,5524.0,5458.0,5345.0,5292.0,5256.0,5496.0,5601.0,5750.0,5982.0,6048.0,6150.0,6340.0,5798.0,5934.0,5915.0,5877.0,5794.0,5679.0,5787.0,5737.0,5456.0,5555.0,5576.0,5389.0
2006-11-15,5972.0,5787.0,5791.0,5765.0,5794.0,5997.0,6238.0,6412.0,6562.0,6586.0,6672.0,6865.0,6359.0,4856.0,6369.0,6357.0,6370.0,6597.0,6509.0,6224.0,6164.0,6113.0,6236.0,6191.0
2006-12-20,7007.0,7002.0,6808.0,6709.0,6675.0,6928.0,7243.0,7262.0,7234.0,7101.0,7104.0,7177.0,6851.0,6999.0,6861.0,6830.0,6828.0,7044.0,6926.0,6706.0,6866.0,6928.0,7010.0,7070.0
