,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2004-01-21,7502,7384.0,7351.0,7181.0,7280.0,7686.0,8681.0,9210.0,9294.0,9342.0,9336.0,9060.0,8947.0,8981.0,8906.0,8832.0,8972.0,9092.0,8756.0,8561.0,8164.0,8435.0,8334.0,7908.0
2004-02-18,7135,7081.0,7035.0,6888.0,7243.0,7568.0,8423.0,8875.0,8881.0,9043.0,9037.0,8817.0,8591.0,8608.0,8404.0,8341.0,8196.0,8751.0,8708.0,8152.0,8030.0,8134.0,8060.0,7938.0
2004-03-17,6520,6424.0,6424.0,6489.0,6853.0,7264.0,7835.0,8184.0,8323.0,8380.0,8555.0,8127.0,7998.0,8088.0,7868.0,7626.0,7310.0,7528.0,7961.0,7617.0,7572.0,7703.0,7245.0,6779.0
2004-04-21,6087,5985.0,5892.0,5835.0,6254.0,6748.0,7266.0,7861.0,7850.0,7939.0,8187.0,7699.0,7574.0,7583.0,7575.0,7412.0,7124.0,7097.0,6871.0,6791.0,7206.0,7397.0,7081.0,6697.0
2004-05-19,5901,5590.0,5352.0,5139.0,5408.0,6190.0,7113.0,7554.0,7683.0,7826.0,8083.0,7763.0,7622.0,7660.0,7384.0,7005.0,6807.0,6686.0,6468.0,6278.0,6452.0,6922.0,6710.0,5894.0
2004-06-16,5745,5497.0,5295.0,5035.0,5229.0,5997.0,7160.0,8161.0,8234.0,8232.0,8490.0,8018.0,7938.0,7804.0,7408.0,7700.0,7347.0,7107.0,6738.0,6431.0,6527.0,6877.0,6646.0,6206.0
2004-07-21,5621,5226.0,5003.0,4743.0,4935.0,5548.0,6565.0,7143.0,7291.0,7522.0,7849.0,7381.0,7350.0,7534.0,7424.0,7259.0,6823.0,6435.0,6452.0,6055.0,6141.0,6498.0,6182.0,5674.0
2004-08-18,5432,5191.0,5057.0,4888.0,5097.0,5882.0,6859.0,7530.0,7516.0,7993.0,8276.0,7832.0,7768.0,7840.0,7494.0,7459.0,7242.0,6903.0,6559.0,6520.0,6755.0,7062.0,6689.0,5826.0
2004-09-15,5682,5463.0,5327.0,5044.0,5345.0,6257.0,7383.0,7781.0,7940.0,8199.0,8493.0,8065.0,7758.0,7788.0,7927.0,7695.0,7480.0,7340.0,7150.0,7267.0,6847.0,6911.0,6690.0,6244.0
2004-10-20,6185,6021.0,6065.0,5982.0,6296.0,6984.0,7821.0,8336.0,8311.0,8512.0,8734.0,8299.0,8213.0,8236.0,8180.0,8213.0,8041.0,8151.0,8019.0,7637.0,7464.0,7510.0,6998.0,6443.0
2004-11-17,7552,7373.0,7193.0,6962.0,7163.0,7668.0,8618.0,8931.0,8925.0,8968.0,9089.0,8695.0,8848.0,8780.0,8752.0,8894.0,8983.0,8983.0,8355.0,8271.0,7926.0,8084.0,7839.0,7193.0
2004-12-15,7745,7608.0,7491.0,7264.0,7464.0,7885.0,8797.0,9374.0,9413.0,9454.0,9431.0,9127.0,9073.0,9097.0,8819.0,9014.0,9350.0,9548.0,9141.0,9027.0,8575.0,8778.0,8463.0,7926.0
