Canton,Vehicle group / type,Year of first registration,Fuel,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Switzerland,... Goods truck (lorry),Before 1960,Diesel,210,187,191,162,170,136,125,123,123,110,99,104,100,98,92,85,99,97,89,89,95,108,100,96,104,103,111,109,107,108,109,115
Switzerland,... Goods truck (lorry),Before 1960,Electricity,6,5,5,4,3,2,2,2,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
Switzerland,... Goods truck (lorry),Before 1960,Other,3,3,3,2,1,1,1,0,0,0,0,1,1,0,0,0,0,1,8,0,0,1,1,1,1,1,1,1,1,1,1,1
Switzerland,... Goods truck (lorry),Before 1960,Without motor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland,... Goods truck (lorry),1960 - 1979,Petrol,273,200,166,171,159,148,146,111,110,107,89,96,95,87,70,119,276,315,393,378,209,163,131,80,74,53,53,51,44,45,36,40
Switzerland,... Goods truck (lorry),1960 - 1979,Diesel,14879,12749,10904,9311,8299,7184,6080,5297,4645,4051,3194,2515,2155,1864,1627,1561,1340,1187,886,657,679,640,600,418,387,372,357,328,315,310,296,295
Switzerland,... Goods truck (lorry),1960 - 1979,Electricity,13,11,11,10,9,8,7,7,8,8,8,6,6,6,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland,... Goods truck (lorry),1960 - 1979,Other,4,4,3,21,50,70,70,42,23,13,12,10,0,0,1,10,31,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland,... Goods truck (lorry),1960 - 1979,Without motor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland,... Goods truck (lorry),1980 - 1989,Petrol,168,183,178,174,210,224,216,101,136,141,144,134,128,112,113,209,540,772,1204,1173,540,372,257,184,128,101,87,77,72,67,51,46
Switzerland,... Goods truck (lorry),1980 - 1989,Diesel,30593,29641,28350,26966,26006,24844,22952,21500,19876,18458,15643,12882,10953,9340,8264,7836,6495,5604,3467,2388,2523,2313,2037,1805,1534,1340,1179,1063,971,893,785,724
Switzerland,... Goods truck (lorry),1980 - 1989,Electricity,3,3,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland,... Goods truck (lorry),1980 - 1989,Other,2,2,3,29,132,199,252,175,124,84,52,42,2,2,2,26,16,9,18,0,0,0,0,0,1,1,1,1,1,1,0,1
Switzerland,... Goods truck (lorry),1980 - 1989,Without motor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland,... Goods truck (lorry),1990 - 1999,Petrol,8,13,19,24,24,30,33,31,33,41,40,45,48,48,51,48,85,73,57,46,37,36,34,32,28,23,20,20,14,14,10,9
Switzerland,... Goods truck (lorry),1990 - 1999,Diesel,3142,6064,8030,9704,11371,13397,15390,17328,19216,21474,21308,20260,19107,17802,16772,16026,14661,13408,10299,8131,7045,6127,5367,4593,3936,3400,2913,2516,2238,1916,1607,1416
Switzerland,... Goods truck (lorry),1990 - 1999,Electricity,0,1,1,1,2,3,5,8,9,9,8,8,8,8,8,8,8,7,7,7,7,7,5,4,4,4,0,0,0,1,1,1
Switzerland,... Goods truck (lorry),1990 - 1999,Other,0,0,0,3,27,52,62,51,41,30,23,18,9,9,9,14,16,17,18,5,5,2,2,1,1,1,2,2,1,1,0,0
Switzerland,... Goods truck (lorry),1990 - 1999,Without motor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland,... Goods truck (lorry),2000 - 2004,Petrol,0,0,0,0,0,0,0,0,0,0,10,17,22,37,42,35,59,44,39,41,31,28,26,26,21,16,12,10,10,8,8,7
Switzerland,... Goods truck (lorry),2000 - 2004,Diesel,0,0,0,0,0,0,0,0,0,0,2341,6472,9355,11668,14124,14527,14476,14257,13608,12583,11685,10734,9502,8437,7277,6216,5268,4522,3791,3230,2699,2351
Switzerland,... Goods truck (lorry),2000 - 2004,Electricity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland,... Goods truck (lorry),2000 - 2004,Other,0,0,0,0,0,0,0,0,0,0,5,6,7,8,11,13,11,11,11,10,8,8,6,4,4,3,2,1,0,0,0,0
Switzerland,... Goods truck (lorry),2000 - 2004,Without motor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland,... Goods truck (lorry),2005 - 2009,Petrol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,17,21,43,50,49,53,60,53,36,42,26,28,24,22,16,15
Switzerland,... Goods truck (lorry),2005 - 2009,Diesel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2049,4800,8280,11793,15153,15709,15619,15393,15087,14542,13665,12532,11217,9789,8450,7117,6192
Switzerland,... Goods truck (lorry),2005 - 2009,Electricity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0
Switzerland,... Goods truck (lorry),2005 - 2009,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,15,33,47,49,58,58,57,56,53,52,48,40,35,34,32,28
Switzerland,... Goods truck (lorry),2005 - 2009,Without motor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland,... Goods truck (lorry),2010 - 2014,Petrol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,12,37,27,24,18,18,15,7,9
Switzerland,... Goods truck (lorry),2010 - 2014,Diesel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2079,5159,8179,10647,13560,14086,13913,13643,13255,12554,11644,10718
Switzerland,... Goods truck (lorry),2010 - 2014,Electricity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,6,8,9,7,7,5,5,4,3,1
Switzerland,... Goods truck (lorry),2010 - 2014,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,28,43,67,82,82,79,75,69,65,64,53
Switzerland,... Goods truck (lorry),2010 - 2014,Without motor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland,... Goods truck (lorry),2015,Petrol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,13,6,6,5,5,1
Switzerland,... Goods truck (lorry),2015,Diesel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2173,2818,2809,2793,2784,2737,2700
Switzerland,... Goods truck (lorry),2015,Electricity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,4,5,3,3
Switzerland,... Goods truck (lorry),2015,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,12,12,12,12,12,11
Switzerland,... Goods truck (lorry),2015,Without motor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland,... Goods truck (lorry),2016,Petrol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,5,3,7,6
Switzerland,... Goods truck (lorry),2016,Diesel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2294,2949,2943,2910,2882,2891
Switzerland,... Goods truck (lorry),2016,Electricity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,2
Switzerland,... Goods truck (lorry),2016,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,13,13,12,12,12
Switzerland,... Goods truck (lorry),2016,Without motor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland,... Goods truck (lorry),2017,Petrol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,6,6,4
Switzerland,... Goods truck (lorry),2017,Diesel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2356,3095,3075,3028,3061
Switzerland,... Goods truck (lorry),2017,Electricity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,6,6
Switzerland,... Goods truck (lorry),2017,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,8,8,8
Switzerland,... Goods truck (lorry),2017,Without motor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland,... Goods truck (lorry),2018,Petrol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,4,2
Switzerland,... Goods truck (lorry),2018,Diesel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2458,3170,3177,3174
Switzerland,... Goods truck (lorry),2018,Electricity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,7,7
Switzerland,... Goods truck (lorry),2018,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7
Switzerland,... Goods truck (lorry),2018,Without motor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland,... Goods truck (lorry),2019,Petrol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Switzerland,... Goods truck (lorry),2019,Diesel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2319,3086,3126
Switzerland,... Goods truck (lorry),2019,Electricity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,12,11
Switzerland,... Goods truck (lorry),2019,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,11,11
Switzerland,... Goods truck (lorry),2019,Without motor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland,... Goods truck (lorry),2020,Petrol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
Switzerland,... Goods truck (lorry),2020,Diesel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2066,2428
Switzerland,... Goods truck (lorry),2020,Electricity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,26
Switzerland,... Goods truck (lorry),2020,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,26
Switzerland,... Goods truck (lorry),2020,Without motor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland,... Goods truck (lorry),2021,Petrol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Switzerland,... Goods truck (lorry),2021,Diesel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999
Switzerland,... Goods truck (lorry),2021,Electricity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60
Switzerland,... Goods truck (lorry),2021,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43
Switzerland,... Goods truck (lorry),2021,Without motor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland,... Articulated vehicle,Before 1960,Petrol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland,... Articulated vehicle,Before 1960,Diesel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland,... Articulated vehicle,Before 1960,Electricity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland,... Articulated vehicle,Before 1960,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland,... Articulated vehicle,Before 1960,Without motor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland,... Articulated vehicle,1960 - 1979,Petrol,3,2,2,1,2,2,2,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland,... Articulated vehicle,1960 - 1979,Diesel,3,1,2,3,3,7,9,5,4,3,1,3,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland,... Articulated vehicle,1960 - 1979,Electricity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland,... Articulated vehicle,1960 - 1979,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland,... Articulated vehicle,1960 - 1979,Without motor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland,... Articulated vehicle,1980 - 1989,Petrol,2,3,4,5,7,5,5,4,2,2,3,3,2,2,1,2,2,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland,... Articulated vehicle,1980 - 1989,Diesel,48,53,52,50,46,46,38,27,22,18,18,14,9,6,6,8,10,8,6,6,7,5,3,2,2,2,2,2,1,1,1,1
Switzerland,... Articulated vehicle,1980 - 1989,Electricity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland,... Articulated vehicle,1980 - 1989,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland,... Articulated vehicle,1980 - 1989,Without motor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland,... Articulated vehicle,1990 - 1999,Petrol,0,0,0,0,1,2,2,3,2,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
Switzerland,... Articulated vehicle,1990 - 1999,Diesel,14,33,58,65,73,98,107,119,122,125,122,97,86,74,66,61,44,39,22,15,13,11,8,8,7,5,4,5,6,5,4,2
Switzerland,... Articulated vehicle,1990 - 1999,Electricity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland,... Articulated vehicle,1990 - 1999,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland,... Articulated vehicle,1990 - 1999,Without motor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland,... Articulated vehicle,2000 - 2004,Petrol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland,... Articulated vehicle,2000 - 2004,Diesel,0,0,0,0,0,0,0,0,0,0,12,27,41,46,53,53,53,50,39,41,38,32,27,18,10,9,10,6,7,10,11,10
Switzerland,... Articulated vehicle,2000 - 2004,Electricity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland,... Articulated vehicle,2000 - 2004,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland,... Articulated vehicle,2000 - 2004,Without motor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland,... Articulated vehicle,2005 - 2009,Petrol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland,... Articulated vehicle,2005 - 2009,Diesel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,20,32,40,44,42,42,40,47,41,31,30,21,15,12,9
Switzerland,... Articulated vehicle,2005 - 2009,Electricity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland,... Articulated vehicle,2005 - 2009,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland,... Articulated vehicle,2005 - 2009,Without motor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland,... Articulated vehicle,2010 - 2014,Petrol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Switzerland,... Articulated vehicle,2010 - 2014,Diesel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,13,16,24,31,33,34,31,30,32,32,23
Switzerland,... Articulated vehicle,2010 - 2014,Electricity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland,... Articulated vehicle,2010 - 2014,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland,... Articulated vehicle,2010 - 2014,Without motor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland,... Articulated vehicle,2015,Petrol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland,... Articulated vehicle,2015,Diesel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,3,3,3
Switzerland,... Articulated vehicle,2015,Electricity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland,... Articulated vehicle,2015,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland,... Articulated vehicle,2015,Without motor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland,... Articulated vehicle,2016,Petrol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland,... Articulated vehicle,2016,Diesel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Switzerland,... Articulated vehicle,2016,Electricity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland,... Articulated vehicle,2016,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland,... Articulated vehicle,2016,Without motor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland,... Articulated vehicle,2017,Petrol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland,... Articulated vehicle,2017,Diesel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2
Switzerland,... Articulated vehicle,2017,Electricity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland,... Articulated vehicle,2017,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland,... Articulated vehicle,2017,Without motor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland,... Articulated vehicle,2018,Petrol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland,... Articulated vehicle,2018,Diesel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,10,10,9
Switzerland,... Articulated vehicle,2018,Electricity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland,... Articulated vehicle,2018,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland,... Articulated vehicle,2018,Without motor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland,... Articulated vehicle,2019,Petrol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland,... Articulated vehicle,2019,Diesel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,5
Switzerland,... Articulated vehicle,2019,Electricity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland,... Articulated vehicle,2019,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland,... Articulated vehicle,2019,Without motor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland,... Articulated vehicle,2020,Petrol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland,... Articulated vehicle,2020,Diesel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9
Switzerland,... Articulated vehicle,2020,Electricity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland,... Articulated vehicle,2020,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland,... Articulated vehicle,2020,Without motor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland,... Articulated vehicle,2021,Petrol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland,... Articulated vehicle,2021,Diesel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Switzerland,... Articulated vehicle,2021,Electricity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland,... Articulated vehicle,2021,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland,... Articulated vehicle,2021,Without motor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland,... Articulated truck (lorry),Before 1960,Petrol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Switzerland,... Articulated truck (lorry),Before 1960,Diesel,1,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2
Switzerland,... Articulated truck (lorry),Before 1960,Electricity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland,... Articulated truck (lorry),Before 1960,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland,... Articulated truck (lorry),Before 1960,Without motor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland,... Articulated truck (lorry),1960 - 1979,Petrol,61,46,32,23,20,18,13,9,9,8,6,4,4,4,4,4,5,7,6,7,3,3,3,3,2,1,1,2,2,1,3,2
Switzerland,... Articulated truck (lorry),1960 - 1979,Diesel,1023,854,709,579,485,410,332,294,244,210,167,126,109,95,79,92,57,50,31,19,18,14,14,11,11,10,13,12,14,17,16,18
Switzerland,... Articulated truck (lorry),1960 - 1979,Electricity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland,... Articulated truck (lorry),1960 - 1979,Other,0,0,0,3,6,7,8,5,4,2,1,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland,... Articulated truck (lorry),1960 - 1979,Without motor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland,... Articulated truck (lorry),1980 - 1989,Petrol,24,26,28,31,35,42,44,22,26,25,23,17,15,13,15,16,25,34,28,27,19,15,14,9,8,6,6,6,7,4,5,3
Switzerland,... Articulated truck (lorry),1980 - 1989,Diesel,4170,3966,3682,3437,3219,3021,2689,2414,2123,1854,1473,1058,804,641,558,542,401,344,237,148,128,104,89,66,53,46,38,29,28,24,24,27
