Canton,Vehicle group / type,Year of first registration,Fuel,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Switzerland,> Goods vehicles,2010 - 2014,Petrol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2519,5923,9271,12077,14956,15580,15336,14859,14428,13889,13369,12830
Switzerland,> Goods vehicles,2010 - 2014,Diesel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17352,44945,75370,104506,133022,138647,136689,133228,128944,123663,118542,112755
Switzerland,> Goods vehicles,2010 - 2014,Electricity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,17,135,250,331,361,355,359,352,331,330,319
Switzerland,> Goods vehicles,2010 - 2014,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204,439,695,972,1159,1257,1240,1214,1160,1136,1067,980
Switzerland,> Goods vehicles,2010 - 2014,Without motor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland,> Goods vehicles,2015,Petrol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2330,3116,3101,3072,2977,2943,2886
Switzerland,> Goods vehicles,2015,Diesel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23106,30952,30804,30740,30142,29626,29232
Switzerland,> Goods vehicles,2015,Electricity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,153,155,157,163,159,154
Switzerland,> Goods vehicles,2015,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,150,153,149,150,149,143
Switzerland,> Goods vehicles,2015,Without motor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland,> Goods vehicles,2016,Petrol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2264,2926,2891,2863,2766,2727
Switzerland,> Goods vehicles,2016,Diesel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22868,30408,30323,30064,29430,29119
Switzerland,> Goods vehicles,2016,Electricity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,179,177,183,178,177
Switzerland,> Goods vehicles,2016,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,177,176,175,173,165
Switzerland,> Goods vehicles,2016,Without motor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland,> Goods vehicles,2017,Petrol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2382,3192,3185,3174,3088
Switzerland,> Goods vehicles,2017,Diesel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23714,32161,31823,31806,31478
Switzerland,> Goods vehicles,2017,Electricity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,185,189,190,190
Switzerland,> Goods vehicles,2017,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,176,174,175,160
Switzerland,> Goods vehicles,2017,Without motor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland,> Goods vehicles,2018,Petrol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2537,3397,3398,3403
Switzerland,> Goods vehicles,2018,Diesel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23539,31906,31936,31884
Switzerland,> Goods vehicles,2018,Electricity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204,286,290,292
Switzerland,> Goods vehicles,2018,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,198,198,202
Switzerland,> Goods vehicles,2018,Without motor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
