Date,Month,Year,SensedHourlyLoadData_1,SensedHourlyLoadData_2,SensedHourlyLoadData_3,SensedHourlyLoadData_4,SensedHourlyLoadData_5,SensedHourlyLoadData_6,SensedHourlyLoadData_7,SensedHourlyLoadData_8,SensedHourlyLoadData_9,SensedHourlyLoadData_10,SensedHourlyLoadData_11,SensedHourlyLoadData_12,SensedHourlyLoadData_13,SensedHourlyLoadData_14,SensedHourlyLoadData_15,SensedHourlyLoadData_16,SensedHourlyLoadData_17,SensedHourlyLoadData_18,SensedHourlyLoadData_19,SensedHourlyLoadData_20,SensedHourlyLoadData_21,SensedHourlyLoadData_22,SensedHourlyLoadData_23,SensedHourlyLoadData_24
9,6,2015,11630,11046,10735,10559,10552,10676,11637,13411,14704,15288,15453,15540,15307,15254,15097,14990,15017,15042,14396,14052,13643,13214,13203,12635
10,6,2015,11727,11082,10769,10591,10555,10629,11639,13353,14585,15093,15242,15293,15173,15237,15095,15031,14987,15047,14429,14100,13699,13307,13226,12735
11,6,2015,11820,11177,10846,10717,10683,10707,11683,13337,14586,15111,15228,15273,15106,15264,15286,15177,15225,15219,14786,14457,14061,13538,13449,13017
12,6,2015,12081,11370,11036,10912,10867,10737,11677,13304,14679,15389,15562,15720,15554,15590,15509,15408,15300,15234,14694,14273,13913,13419,13361,12911
13,6,2015,12070,11333,10939,10720,10601,10368,10563,11297,12239,13170,13610,13624,13362,13046,12797,12512,12528,12819,12875,12773,12548,12322,12350,11896
14,6,2015,11205,10617,10252,10021,9979,9756,9714,10025,10706,11427,11906,12272,12362,12259,12041,11864,12036,12529,12741,12699,12584,12398,12409,11771
15,6,2015,11094,10583,10352,10258,10315,10452,11480,13160,14487,14890,14878,14978,14880,14922,14739,14682,14696,14777,14314,13996,13663,13219,13100,12589
16,6,2015,11632,10994,10689,10575,10602,10635,11617,13289,14602,15170,15256,15254,14976,14980,14878,14927,14984,15049,14393,14016,13596,13139,13050,12603
17,6,2015,11595,10962,10624,10445,10431,10500,11509,13219,14511,15087,15205,15286,15140,15258,15280,15317,15372,15400,14661,14364,14009,13725,13485,12856
18,6,2015,11975,11362,11084,10933,10809,10861,11764,13457,14763,15289,15427,15466,15351,15322,15207,15109,15062,15052,14506,14145,13755,13399,13109,12545
19,6,2015,11712,11119,10828,10656,10634,10759,11697,13330,14687,15314,15466,15536,15398,15403,15198,15027,14889,14869,14365,13941,13470,13097,12803,12310
20,6,2015,11495,10857,10463,10260,10172,9963,10151,10827,11800,12669,13073,13147,13033,12859,12585,12377,12417,12736,12757,12582,12369,12099,12096,11669
21,6,2015,11022,10450,10115,9943,9810,9568,9524,9896,10602,11344,11917,12218,12405,12230,12021,11780,11854,12287,12403,12323,12170,12022,12155,11627
22,6,2015,10841,10397,10218,10106,10176,10330,11386,13133,14548,15175,15369,15629,15441,15475,15384,15240,15155,15128,14645,14183,13673,13239,13072,12533
23,6,2015,11532,10928,10691,10580,10549,10647,11602,13259,14515,15127,15443,15619,15571,15586,15468,15386,15393,15428,14819,14431,14036,13644,13206,12452
24,6,2015,11549,10951,10700,10597,10590,10708,11679,13404,14751,15277,15311,15257,15027,15150,15127,15050,15049,15148,14487,14068,13640,13270,13122,12664
25,6,2015,11790,11119,10772,10637,10643,10683,11583,13246,14543,15121,15229,15251,15128,15157,15163,15059,15046,15116,14603,14245,13900,13421,13255,12741
26,6,2015,11835,11235,10976,10816,10780,10821,11677,13301,14717,15291,15510,15553,15413,15476,15342,15300,15222,15152,14580,14108,13586,13132,13018,12601
27,6,2015,11836,11158,10776,10593,10483,10261,10486,11125,12101,13001,13385,13337,13102,12771,12511,12292,12287,12478,12527,12391,12239,11988,12071,11780
28,6,2015,11174,10619,10243,10012,9857,9538,9524,9821,10380,11024,11503,11835,12130,12122,11960,11907,12011,12474,12601,12473,12364,12257,12287,11758
29,6,2015,11116,10650,10459,10372,10377,10474,11405,13133,14539,15121,15305,15537,15496,15619,15538,15472,15399,15420,14886,14521,14068,13648,13456,12993
30,6,2015,12084,11392,11131,10972,10925,10958,11897,13547,14849,15455,15620,15647,15567,15617,15582,15519,15532,15577,15046,14680,14367,13898,13699,13266
1,7,2015,12308,11600,11287,11126,11054,11088,12078,13898,15201,15952,16147,16299,16202,16264,16237,16176,16222,16212,15564,15209,14851,14463,14292,13894
2,7,2015,12909,12187,11842,11638,11645,11789,12963,14669,16073,16799,16925,16960,16847,16842,16702,16499,16403,16290,15828,15396,15047,14579,14413,13813
3,7,2015,12831,12130,11691,11515,11517,11647,12666,14223,15540,16277,16414,16469,16399,16368,16239,16065,15976,15901,15446,15054,14638,14075,14001,13727
4,7,2015,12863,12135,11672,11437,11343,11103,11315,11996,12912,13810,14219,14214,14070,13833,13641,13479,13446,13578,13588,13372,13167,12883,12879,12576
5,7,2015,11947,11381,10967,10777,10598,10356,10284,10611,11236,11908,12296,12604,12795,12776,12825,12762,12875,13112,12963,12818,12748,12538,12665,12219
6,7,2015,11552,11062,10890,10806,10836,10927,11807,13460,14797,15428,15592,15731,15603,15718,15627,15493,15444,15427,14892,14572,14177,13757,13647,13156
7,7,2015,12291,11611,11283,11124,11128,11157,12061,13604,14967,15773,16163,16364,16353,16461,16347,16119,16008,15912,15084,14579,14156,13698,13625,13157
8,7,2015,12264,11585,11252,11082,11039,11140,11992,13548,14925,15629,15900,15949,15855,15843,15740,15672,15566,15553,14881,14424,14055,13830,13486,12856
9,7,2015,11935,11251,10941,10801,10779,10909,11715,13109,14412,14992,15162,15230,15040,15065,15005,14879,14831,14848,14400,13987,13619,13211,13082,12753
10,7,2015,11790,11165,10818,10700,10728,10832,11690,13110,14375,15019,15202,15229,15064,15040,14883,14720,14662,14789,14467,14117,13705,13201,13095,12788
11,7,2015,11964,11301,10883,10711,10591,10426,10546,11116,11947,12818,13147,13129,13002,12869,12716,12633,12676,12800,12826,12703,12542,12309,12437,11988
12,7,2015,11394,10797,10486,10291,10228,9980,9884,10167,10698,11271,11708,12043,12336,12340,12206,12143,12189,12577,12680,12509,12419,12388,12408,11835
13,7,2015,11244,10842,10632,10602,10657,10886,11737,13300,14741,15407,15799,15978,15941,15945,15843,15659,15563,15539,14910,14520,14086,13744,13444,12823
14,7,2015,11981,11407,11108,11023,11049,11209,12038,13648,14948,15647,15916,16011,15865,15843,15781,15663,15598,15491,14762,14322,13888,13559,13403,12892
15,7,2015,12012,11441,11160,10991,10984,11166,11928,13483,14842,15495,15810,15908,15875,16051,15982,15880,15754,15709,14982,14435,13988,13717,13530,12963
16,7,2015,12060,11350,11072,10926,10903,11068,11825,13195,14483,15158,15354,15409,15269,15347,15287,15224,15244,15258,14827,14453,14130,13799,13616,13055
17,7,2015,12100,11478,11178,11019,10988,11112,11992,13387,14743,15457,15736,15807,15632,15593,15440,15133,14959,14970,14512,14178,13763,13258,13209,12792
18,7,2015,12010,11359,10951,10724,10632,10517,10607,11141,11984,12804,13053,13055,12880,12632,12431,12331,12362,12496,12528,12386,12257,12121,12265,11885
19,7,2015,11224,10739,10445,10275,10175,10136,9969,10199,10640,11257,11801,12264,12428,12316,12052,11736,11794,12135,12278,12129,12128,12040,12326,11802
20,7,2015,11084,10629,10442,10368,10379,10573,11335,12670,13961,14647,14930,15077,15131,15308,15285,15262,15288,15245,14626,14164,13697,13405,13313,12744
21,7,2015,11911,11331,11043,10968,10926,11072,11836,13117,14260,14826,14972,14973,14862,14949,14990,14985,14993,14953,14436,13991,13579,13225,13276,12826
22,7,2015,11940,11319,11062,10886,10909,11006,11695,13031,14261,14896,15099,15127,15085,15148,15052,14961,14912,14850,14225,13843,13501,13244,13226,12696
23,7,2015,11885,11271,10912,10762,10758,10857,11577,12830,13970,14513,14752,14837,14750,14819,14782,14735,14683,14633,14185,13820,13522,13193,13150,12618
24,7,2015,11811,11205,10900,10790,10749,10906,11508,12753,13983,14686,14939,15010,14970,15003,14948,14920,14803,14723,14267,13798,13417,13098,12913,12426
25,7,2015,11697,11126,10759,10609,10519,10443,10481,11020,11826,12697,13110,13339,13302,13247,13162,12959,12799,12887,12672,12444,12147,11938,12056,11598
26,7,2015,10944,10438,10100,9878,9780,9649,9489,9714,10140,10618,11008,11212,11438,11429,11442,11600,11832,12263,12330,12168,12087,12108,12062,11471
27,7,2015,10848,10389,10188,10161,10179,10472,11171,12468,13732,14423,14669,14943,14946,14960,14809,14679,14508,14558,14062,13608,13193,12965,12821,12190
28,7,2015,11349,10763,10498,10318,10314,10581,11192,12452,13659,14303,14540,14522,14435,14438,14270,14145,14126,14196,13622,13236,12864,12716,12648,12021
29,7,2015,11244,10681,10456,10394,10414,10584,11224,12392,13572,14167,14450,14580,14364,14370,14233,14107,14126,14234,13749,13336,13006,12848,12797,12226
30,7,2015,11394,10802,10501,10365,10374,10504,11049,12188,13353,14013,14330,14510,14440,14362,14253,14092,14082,14038,13668,13277,12958,12700,12657,12062
31,7,2015,11316,10751,10449,10268,10270,10439,11104,12209,13231,13840,14005,14016,13893,13831,13668,13500,13480,13632,13296,13004,12668,12381,12369,11851
1,8,2015,11055,10486,10140,10026,9951,9919,9936,10443,11110,11803,12103,12134,11984,11831,11747,11713,11762,11910,12000,11892,11767,11801,11929,11379
2,8,2015,10772,10220,9879,9743,9649,9524,9334,9579,10062,10545,10870,11029,11129,11085,10953,10918,11054,11511,11786,11797,11748,11808,11960,11360
3,8,2015,10767,10323,10089,10006,9966,10280,10903,12154,13393,14043,14280,14404,14371,14429,14314,14257,14324,14377,13927,13578,13209,13118,12988,12387
4,8,2015,11556,10988,10691,10576,10579,10828,11538,12762,13904,14682,14969,15150,15046,14949,14712,14400,14159,14147,13599,13219,12895,12766,12631,12043
5,8,2015,11238,10655,10355,10217,10179,10408,11004,12196,13288,13914,14130,14190,13986,13983,13973,13941,13990,14132,13656,13277,12920,12909,12784,12205
6,8,2015,11370,10783,10480,10391,10360,10527,11131,12317,13544,14306,14617,14688,14668,14628,14541,14393,14377,14438,14053,13748,13465,13291,13124,12539
7,8,2015,11704,11049,10776,10649,10614,10824,11350,12466,13581,14288,14559,14700,14597,14528,14471,14344,14345,14435,14089,13730,13405,13207,12879,12348
8,8,2015,11511,10953,10582,10390,10291,10202,10245,10701,11394,12185,12500,12522,12348,12160,12008,11911,11935,12132,12203,12111,11965,12051,12057,11505
9,8,2015,10877,10314,9976,9801,9721,9661,9448,9662,10126,10676,11056,11250,11329,11265,11287,11281,11488,11930,12142,12077,12026,12237,12206,11642
10,8,2015,11032,10581,10366,10274,10290,10606,11316,12566,13967,14667,14889,15070,15026,15031,14918,14881,14826,14820,14208,13828,13464,13558,13225,12582
11,8,2015,11735,11155,10842,10701,10734,10975,11535,12813,14020,14764,15016,15082,15003,14994,14945,14846,14877,14958,14399,13954,13608,13750,13298,12658
12,8,2015,11804,11267,10950,10821,10791,11089,11769,12912,14182,14840,15113,15185,15014,15069,15036,14893,14876,14951,14327,13886,13538,13651,13311,12651
13,8,2015,11835,11190,10900,10751,10732,10949,11527,12745,13993,14685,14941,15073,14998,15142,15173,15185,15223,15213,14820,14506,14290,14256,13671,12966
14,8,2015,12100,11483,11212,11098,11094,11392,12108,13261,14509,15338,15693,15742,15652,15550,15411,15247,15171,15155,14681,14219,13791,13700,13269,12655
15,8,2015,11828,11228,10908,10738,10636,10628,10697,11110,11904,12776,13185,13299,13223,13113,12996,12857,12901,13121,13073,12855,12656,12689,12347,11807
16,8,2015,11160,10640,10316,10142,10034,10017,9898,10083,10672,11304,11794,12080,12263,12179,12075,11942,12001,12484,12641,12520,12519,12737,12380,11624
17,8,2015,10991,10536,10346,10301,10350,10727,11626,13013,14321,15059,15364,15672,15570,15619,15510,15385,15317,15351,14815,14407,14151,14002,13229,12501
18,8,2015,11620,11109,10824,10688,10708,11007,11925,13283,14538,15220,15499,15614,15446,15370,15283,15211,15136,15158,14525,14103,13803,13900,13191,12435
19,8,2015,11566,10950,10661,10532,10547,10850,11754,13085,14353,14893,15049,15130,14921,14906,14868,14846,14867,14929,14356,13879,13584,13863,13201,12433
20,8,2015,11598,11034,10700,10589,10603,10919,11727,13119,14334,14933,15115,15217,15082,15178,15140,15162,15192,15261,14812,14417,14188,14260,13487,12744
21,8,2015,11908,11324,11017,10854,10785,11079,11887,13214,14558,15240,15477,15526,15419,15437,15362,15248,15183,15220,14816,14410,14052,14113,13429,12809
22,8,2015,12037,11382,10966,10712,10608,10651,10784,11265,12083,12905,13162,13209,13117,12873,12676,12532,12592,12776,12832,12716,12566,12881,12550,11960
23,8,2015,11332,10717,10367,10164,9916,9884,9808,9954,10468,10994,11338,11539,11676,11577,11495,11514,11762,12398,12625,12698,12863,12949,12415,11684
24,8,2015,11016,10638,10478,10439,10472,10761,11620,13110,14433,15032,15180,15380,15380,15541,15486,15345,15310,15343,14730,14239,14022,14038,13190,12398
25,8,2015,11502,10964,10679,10608,10628,10964,11970,13370,14571,15110,15246,15279,15009,14999,14852,14828,14893,15012,14480,14128,14103,13982,13129,12332
26,8,2015,11486,10919,10617,10482,10516,10808,11856,13340,14633,15140,15301,15404,15233,15321,15424,15510,15507,15531,14852,14425,14430,14323,13465,12565
27,8,2015,11710,11149,10867,10761,10749,11043,12017,13511,14747,15447,15701,15883,15784,15832,15759,15631,15512,15391,14784,14421,14371,14142,13191,12349
28,8,2015,11459,10882,10525,10382,10428,10736,11717,13128,14381,14969,15072,15095,14872,14832,14742,14583,14455,14499,14095,13716,13539,13565,12757,12100
29,8,2015,11257,10631,10243,10071,9955,10020,10220,10708,11592,12313,12591,12618,12458,12261,12084,11948,12067,12383,12547,12396,12473,12693,12244,11652
30,8,2015,10983,10427,10104,9980,9881,9885,9935,10019,10654,11265,11551,11794,11923,11919,11794,11776,12043,12555,12718,12705,12968,13240,12692,11899
31,8,2015,11171,10751,10580,10557,10601,11000,12168,13773,15136,15759,15902,16003,15989,16234,16226,16403,16670,16665,15868,15361,15205,14888,13870,12899
1,9,2015,12005,11420,11179,11109,11091,11465,12555,14098,15301,15880,16010,16068,15869,15771,15580,15345,15200,15283,14746,14397,14420,14485,13564,12659
2,9,2015,11742,11144,10852,10759,10776,11179,12183,13782,15088,15644,15732,15737,15520,15524,15449,15250,15170,15238,14606,14243,14338,14345,13488,12624
3,9,2015,11759,11117,10848,10746,10775,11136,12204,13718,14893,15344,15440,15563,15510,15528,15492,15359,15370,15400,14910,14625,14767,14483,13479,12599
4,9,2015,11705,11119,10845,10745,10791,11092,12219,13716,14934,15537,15632,15622,15447,15439,15373,15349,15438,15507,15056,14648,14629,14165,13363,12648
5,9,2015,11806,11168,10788,10619,10535,10623,10932,11446,12403,13304,13681,13672,13515,13284,13006,12807,12782,13100,13223,13061,13264,13088,12486,11779
6,9,2015,11069,10521,10243,10094,10027,10068,10171,10345,10924,11549,11893,12150,12330,12258,12103,11879,12010,12713,12930,12849,13230,13037,12381,11558
7,9,2015,10927,10530,10384,10324,10467,10885,12181,13742,14984,15496,15557,15622,15491,15565,15495,15436,15453,15515,14948,14680,14878,14496,13488,12558
8,9,2015,11695,11122,10907,10807,10840,11229,12471,14118,15318,15832,15759,15835,15707,15733,15652,15530,15479,15478,14910,14632,14927,14603,13530,12607
9,9,2015,11743,11207,10945,10779,10857,11200,12358,13888,15074,15476,15463,15393,15179,15234,15151,14996,14972,15116,14569,14310,14682,14427,13412,12497
10,9,2015,11570,11017,10731,10685,10696,11076,12240,13759,14864,15205,15140,15105,14872,14966,14891,14816,14860,15068,14729,14516,14911,14458,13430,12542
11,9,2015,11698,11083,10783,10681,10735,11102,12290,13756,14878,15240,15158,15068,14811,14795,14709,14590,14580,14753,14343,14043,14373,13889,13035,12389
12,9,2015,11491,10836,10480,10281,10245,10358,10737,11247,12112,12965,13269,13233,13012,12867,12830,12818,12986,13370,13402,13336,13545,13073,12485,11823
13,9,2015,11112,10585,10326,10154,10066,10121,10274,10391,11077,11595,11953,12158,12231,12180,12046,12043,12347,13082,13311,13356,13684,13255,12604,11782
14,9,2015,11030,10597,10449,10429,10549,10942,12320,14116,15301,15764,15884,15980,15792,15803,15739,15710,15769,15835,15260,15084,15296,14676,13585,12655
15,9,2015,11781,11141,10859,10765,10792,11175,12453,14111,15190,15666,15701,15628,15396,15554,15720,15856,15840,15833,15314,15197,15313,14639,13630,12751
16,9,2015,11807,11181,10846,10771,10818,11197,12437,14273,15531,16185,16350,16390,16269,16313,16368,16329,16267,16350,15732,15384,15486,14810,13791,12864
17,9,2015,11860,11168,10918,10812,10843,11225,12503,14257,15505,16086,16198,16378,16270,16288,16234,16114,16059,15967,15367,15121,15480,14750,13690,12773
18,9,2015,11856,11218,10924,10810,10847,11219,12455,14050,15222,15672,15596,15466,15245,15364,15314,15203,15076,15227,14879,14735,14972,14149,13241,12507
19,9,2015,11705,11075,10680,10494,10439,10535,10990,11678,12531,13389,13683,13647,13507,13171,12878,12696,12835,13230,13308,13342,13644,13124,12503,11785
20,9,2015,11101,10505,10191,10060,10010,10027,10232,10435,11036,11661,12048,12332,12424,12303,12047,11903,12073,12737,12984,13170,13667,13131,12439,11598
21,9,2015,10870,10405,10262,10178,10277,10737,12159,13958,15109,15537,15397,15477,15314,15493,15453,15467,15536,15660,15183,15334,15334,14521,13477,12535
22,9,2015,11728,11135,10891,10797,10843,11272,12562,14361,15466,16009,16008,15938,15630,15623,15671,15683,15814,15938,15430,15442,15412,14625,13630,12707
23,9,2015,11814,11227,10956,10841,10884,11277,12512,14309,15373,15842,15861,15857,15684,15713,15629,15580,15591,15840,15285,15286,15417,14603,13540,12662
24,9,2015,11708,11164,10886,10756,10810,11219,12581,14389,15440,15942,16056,16159,16028,16102,16146,15936,15922,15896,15429,15470,15497,14562,13451,12557
25,9,2015,11606,10985,10698,10614,10655,10985,12281,14112,15171,15665,15608,15537,15230,15243,15132,14907,14769,14924,14585,14629,14872,13996,13059,12356
26,9,2015,11521,10785,10461,10346,10299,10390,10831,11463,12281,12990,13022,12964,12830,12597,12416,12305,12408,12851,13009,13237,13498,12945,12332,11627
27,9,2015,10909,10346,10007,9876,9829,9839,10038,10297,10872,11381,11580,11667,11860,11721,11586,11575,11820,12503,12769,13223,13546,12964,12267,11371
28,9,2015,10696,10281,10125,10125,10266,10705,12077,13984,15113,15505,15460,15495,15233,15404,15354,15272,15292,15356,14852,15197,15280,14421,13303,12363
29,9,2015,11456,10898,10643,10479,10549,10961,12401,14297,15225,15497,15305,15136,14858,14908,14866,14813,14936,15169,14810,15179,15276,14432,13359,12408
30,9,2015,11505,10873,10614,10527,10561,10947,12298,14239,15254,15505,15392,15209,14904,14941,14871,14806,14925,15202,14791,15079,15213,14397,13193,12317
1,10,2015,11425,10801,10522,10522,10421,10460,10920,12276,14209,15136,15423,15177,15048,14772,14782,14751,14712,14821,15063,14784,15251,15366,14416,13310
2,10,2015,11478,10890,10675,10675,10617,10658,11063,12402,14351,15342,15628,15437,15249,14890,14844,14739,14638,14652,14966,14717,15004,14978,14029,13112
3,10,2015,11538,10893,10458,10458,10312,10300,10383,10913,11635,12443,13138,13267,13220,13089,12812,12575,12441,12605,13100,13303,13756,13692,13006,12377
4,10,2015,10818,10280,9988,9988,9871,9904,9939,10169,10543,11179,11863,12157,12155,12108,11907,11735,11712,11982,12797,13100,13743,13699,13103,12424
5,10,2015,10749,10322,10156,10156,10097,10216,10727,12104,14236,15217,15630,15641,15592,15409,15589,15511,15465,15597,15751,15377,15853,15434,14478,13441
6,10,2015,11636,11069,10852,10852,10752,10816,11243,12568,14704,15724,16213,16331,16222,16026,16109,16034,15990,16041,16180,15641,15988,15586,14671,13606
7,10,2015,11774,11131,10807,10807,10729,10800,11205,12566,14614,15698,16101,16169,16194,16029,16133,16021,16004,16111,16304,15894,16140,15627,14678,13612
8,10,2015,11788,11122,10875,10875,10770,10848,11244,12557,14694,15774,16194,16138,16109,15867,15883,15794,15716,15745,15869,15569,16026,15638,14676,13615
9,10,2015,11775,11159,10881,10881,10758,10901,11273,12529,14630,15648,16085,16068,15907,15652,15571,15402,15241,15225,15431,15115,15571,15165,14148,13228
10,10,2015,11660,10970,10645,10645,10517,10476,10561,10963,11806,12699,13507,13812,13723,13342,13003,12765,12639,12849,13445,13631,14158,13868,13216,12558
11,10,2015,11096,10529,10220,10220,10075,10068,10123,10324,10759,11338,11875,12106,12106,12104,11962,11727,11691,12006,12873,13305,14078,13951,13268,12531
12,10,2015,10845,10455,10314,10314,10292,10486,11022,12570,14771,15724,16077,16009,15901,15503,15646,15502,15391,15422,15664,15404,16202,15753,14758,13591
13,10,2015,11598,10998,10788,10788,10737,10885,11345,12706,15006,16100,16453,16341,16281,16086,16156,16124,16123,16246,16339,16041,16570,16012,15053,13898
14,10,2015,11882,11251,11026,11026,10943,11006,11436,12798,15073,16370,16823,16953,17038,16909,17057,16999,16863,16941,17087,16747,16861,16092,15089,13946
15,10,2015,11956,11390,11091,11091,11040,11132,11548,12915,15169,16420,16922,17134,17112,16992,17045,16992,16965,17037,17207,16911,17004,16268,15100,14071
16,10,2015,12112,11443,11150,11150,11074,11188,11502,12852,15080,16468,16986,17101,17176,16923,16906,16764,16554,16498,16622,16358,16332,15559,14537,13619
17,10,2015,11918,11260,10919,10919,10742,10710,10788,11203,12119,13022,13965,14450,14622,14521,14312,14060,13893,13980,14416,14540,14664,14072,13337,12591
18,10,2015,11129,10549,10232,10232,10109,10111,10141,10316,10848,11392,12102,12581,12908,13092,13027,12918,12824,13030,13699,14071,14277,13833,13203,12522
19,10,2015,10859,10366,10230,10230,10237,10399,10884,12189,14227,15539,16086,16363,16389,16251,16271,16136,15936,15885,16017,15771,16085,15429,14478,13344
20,10,2015,11626,11054,10784,10784,10685,10765,11198,12482,14455,15646,16189,16225,16211,16107,16133,15956,15764,15646,15789,15693,16132,15522,14605,13541
21,10,2015,11639,11081,10842,10842,10763,10842,11224,12484,14490,15701,16247,16367,16203,16040,16139,16083,16011,16111,16283,16096,16110,15458,14603,13552
22,10,2015,11669,11083,10787,10787,10677,10761,11180,12441,14437,15713,16252,16393,16478,16274,16243,16198,16121,16097,16211,16032,16246,15610,14633,13570
23,10,2015,11779,11170,10844,10844,10735,10785,11198,12386,14303,15556,16064,16198,16165,15902,15847,15710,15433,15437,15678,15705,15676,14984,14102,13209
24,10,2015,11618,10951,10599,10599,10395,10383,10509,11003,11879,12818,13710,14089,14168,14037,13752,13449,13275,13378,13824,14228,14370,13810,13159,12525
25,10,2015,11148,10576,10241,10051,10007,10012,10116,10449,10887,11559,12067,12188,12338,12349,12263,12228,12358,12783,14051,14590,14277,13742,13046,12393
26,10,2015,10879,10536,10342,10342,10335,10488,11032,12487,14390,15548,15845,15667,15528,15298,15340,15370,15477,15804,16588,16862,16372,15512,14566,13432
27,10,2015,11587,11045,10829,10829,10800,10871,11324,12770,14519,15568,15825,15601,15501,15324,15432,15512,15705,16034,16841,16829,16405,15539,14610,13482
28,10,2015,11628,11106,10861,10861,10838,10852,11302,12676,14561,15713,16190,16263,16294,16176,16310,16299,16239,16438,17241,16871,16354,15501,14550,13473
29,10,2015,11675,11106,10844,10844,10781,10865,11310,12619,14489,15618,16062,15998,15846,15586,15640,15717,15791,16052,16867,16898,16452,15704,14631,13556
30,10,2015,11732,11018,10854,10854,10861,10941,11365,12637,14465,15520,15978,15929,15820,15667,15674,15578,15553,15758,16666,16596,15990,15164,14145,13220
31,10,2015,11655,11075,10767,10767,10641,10580,10610,11177,11930,12748,13441,13639,13525,13295,13060,12990,13058,13505,14687,15011,14549,13839,13098,12492
1,11,2015,11192,10717,10420,10292,10229,10308,10570,10927,11586,12192,12463,12569,12642,12599,12563,12602,13067,14468,14898,14551,14044,13317,12623,11699
2,11,2015,11087,10737,10600,10587,10692,11161,12672,14738,15822,16212,16043,16013,15757,15824,15827,15868,16244,16991,16983,16463,15688,14722,13630,12679
3,11,2015,11765,11267,11027,10938,11030,11477,12924,14937,15942,16266,16174,16101,15821,15927,15958,16079,16340,17385,17062,16513,15712,14756,13690,12757
4,11,2015,11850,11344,11044,10975,11011,11447,12828,14840,15914,16393,16476,16517,16381,16541,16518,16457,16732,17593,17149,16577,15796,14863,13795,12858
5,11,2015,11952,11402,11137,11057,11072,11476,12872,14872,15906,16400,16631,16716,16496,16573,16568,16594,16812,17554,17221,16720,15980,14967,13871,12953
6,11,2015,12148,11584,11253,11127,11130,11569,12940,14990,16078,16581,16767,16817,16656,16708,16547,16392,16654,17533,16988,16365,15577,14554,13647,13017
7,11,2015,12098,11460,11061,10884,10779,10865,11399,12273,13185,14124,14616,14751,14681,14491,14256,14216,14525,15678,15471,14972,14298,13553,12898,12212
8,11,2015,11536,10942,10475,10357,10201,10295,10590,10988,11605,12306,12780,12952,13117,13080,13030,13024,13435,14883,14945,14547,14044,13432,12772,11944
9,11,2015,11269,10899,10714,10704,10798,11266,12689,14726,15760,16158,16403,16610,16461,16457,16416,16502,16841,17692,17161,16588,15786,14817,13727,12732
10,11,2015,11921,11380,11147,11066,11056,11537,12936,15085,16161,16686,16837,17005,16938,16934,16841,16869,17118,17784,17222,16637,15859,14965,13853,12917
11,11,2015,12045,11471,11207,11134,11177,11576,13011,15132,16180,16687,16825,16879,16750,16783,16806,16770,17150,17804,16966,16373,15656,14779,13707,12787
12,11,2015,11941,11360,11076,10902,10999,11492,12975,15078,16028,16402,16446,16524,16289,16241,16220,16251,16627,17581,17183,16702,15933,14853,13748,12870
13,11,2015,12006,11427,11098,10995,11051,11496,12816,14992,16045,16449,16403,16412,16073,16105,16160,16419,16810,17520,16943,16278,15477,14476,13532,12867
14,11,2015,12086,11382,10943,10745,10730,10840,11371,12285,13138,13975,14418,14502,14488,14306,14167,14091,14668,15606,15271,14759,14113,13455,12864,12107
15,11,2015,11507,10926,10616,10478,10442,10508,10781,11281,11877,12659,13209,13638,13878,13842,13715,13601,14027,15151,15018,14677,14129,13462,12687,11826
16,11,2015,11185,10842,10609,10565,10701,11211,12782,15043,16192,16648,16699,16885,16778,16901,16851,16832,17149,17800,17078,16494,15676,14787,13701,12813
17,11,2015,11992,11466,11252,11102,11134,11599,13090,15243,16241,16724,16649,16711,16489,16658,16696,16741,17192,17921,17240,16725,15947,14994,13876,12903
18,11,2015,12052,11463,11166,11063,11118,11539,13011,15081,16093,16454,16470,16541,16390,16620,16678,16757,17174,18030,17239,16690,15890,14979,13823,12884
19,11,2015,12038,11491,11179,11020,11042,11524,12955,15159,16131,16522,16637,16799,16682,16823,16856,16986,17521,18048,17349,16822,16008,14969,13868,12911
20,11,2015,11995,11415,11051,10900,10916,11403,12862,15021,16321,16753,16844,16924,16699,16725,16581,16428,16650,17612,16948,16227,15425,14482,13519,12770
21,11,2015,11991,11370,10992,10821,10771,10917,11537,12577,13541,14428,14780,14801,14820,14786,14707,14593,15031,15993,15641,15078,14372,13690,13069,12331
22,11,2015,11690,11080,10808,10617,10575,10644,10893,11403,12016,12746,13270,13480,13801,13805,13689,13727,14332,15580,15469,15153,14622,13888,13159,12182
23,11,2015,11470,11062,10906,10809,11002,11575,13067,15308,16430,16802,16701,16623,16429,16581,16663,16779,17310,18275,17578,17039,16134,15166,14012,12987
24,11,2015,12143,11642,11357,11250,11356,11812,13231,15588,16892,17402,17570,17665,17566,17643,17669,17706,18132,18454,17589,17019,16191,15265,14105,13130
25,11,2015,12195,11649,11381,11160,11151,11662,13144,15457,16693,17102,17074,17056,16985,17063,17029,17091,17452,18317,17587,16998,16170,15239,14076,13086
26,11,2015,12255,11707,11416,11338,11412,11871,13315,15556,16599,16915,16804,16647,16346,16376,16405,16587,17077,18080,17530,17066,16212,15256,14096,13122
27,11,2015,12210,11631,11339,11250,11279,11706,13128,15420,16670,17147,17242,17299,17047,17079,17044,16959,17238,17856,17146,16497,15621,14576,13679,13002
